"trackNumber","artistName","trackName","specialName","releaseDate","episodeNumber"
1,"Andain","Beautiful Things (Gabriel & Dresden Unplugged Mix)","Black Hole","January 28, 2021",1001
2,"Gareth Emery & STANDERWICK ft. HALIENE","Saving Light","Monstercat","January 28, 2021",1001
3,"Yuri Kane ft. Kate Walsh","Right Back","Premier","January 28, 2021",1001
4,"Cosmic Gate ft. Emma Hewitt","Be Your Sound","Wake Your Mind","January 28, 2021",1001
5,"Gareth Emery ft. Christina Novelli","Concrete Angel","Garuda","January 28, 2021",1001
6,"Sunlounger","White Sand (DJ Shah Original Mix)","Armind","January 28, 2021",1001
7,"John O'Callaghan ft. Sarah Howells","Find Yourself (Cosmic Gate Remix)","Armada Captivating","January 28, 2021",1001
8,"Omnia & IRA","The Fusion","Coldharbour","January 28, 2021",1001
9,"Armin van Buuren & Shapov","The Last Dancer","Armind","January 28, 2021",1001
10,"Armin van Buuren ft. Christian Burns","This Light Between Us (Armin van Buuren Great Strings Mix)","Armind","January 28, 2021",1001
11,"Above & Beyond pres. OceanLab","On A Good Day","Anjunabeats","January 28, 2021",1001
12,"Alex M.O.R.P.H. ft. Natalie Gioia","The Reason (Club Mix)","ASOT","January 28, 2021",1001
13,"Simon Patterson ft. Lucy Pullin","Now I Can Breathe Again","Armind","January 28, 2021",1001
14,"Armin van Buuren","Control Freak (Sander van Doorn Remix)","Armind","January 28, 2021",1001
15,"Super8 & P.O.S. pres. Aalto","5","Anjunabeats","January 28, 2021",1001
16,"Armin van Buuren vs. Rank 1 ft. Kush","This World Is Watching Me","Armind","January 28, 2021",1001
17,"Above & Beyond & Andy Moor","Air For Life","Anjunabeats","January 28, 2021",1001
18,"Karen Overton","Your Loving Arms (Club Mix)","Supra","January 28, 2021",1001
19,"Ridgewalkers ft. El","Find (Andy Moor Remix)","Baroque","January 28, 2021",1001
20,"Matt Darey pres. Urban Astronauts ft. Kate Louise Smith","See The Sun (Aurosonic Remix)","Nocturnal Global","January 28, 2021",1001
21,"Above & Beyond ft. Zoë Johnston","No One On Earth (Gabriel & Dresden Remix)","Anjunabeats","January 28, 2021",1001
22,"Chicane ft. Moya Brennan","Saltwater (Kryder Remix)","Enzo","January 28, 2021",1001
23,"Ørjan Nilsen","The Late Anthem (Way Too Late Mix)","Armind","January 28, 2021",1001
24,"Andrew Rayel","Dark Warrior","Armind","January 28, 2021",1001
25,"Bobina","Winter","Magik Muzik","January 28, 2021",1001
26,"Markus Schulz & Departure ft. Gabriel & Dresden","Without You Near (Gabriel & Dresden Remix)","Coldharbour","January 28, 2021",1001
27,"Armin van Buuren ft. Gabriel & Dresden","Zocalo","Armada","January 28, 2021",1001
28,"Armin van Buuren ft. Sharon Den Adel","In And Out Of Love","Armada","January 28, 2021",1001
29,"Jorn van Deynhoven","The New Horizons (ASOT 650 Anthem)","ASOT","January 28, 2021",1001
30,"The Blizzard","Kalopsia","Armind","January 28, 2021",1001
31,"Adam White & Andy Moor pres. Whiteroom","The White Room","Liquid Asset","January 28, 2021",1001
32,"Gaia","Tuvan","Armind","January 28, 2021",1001
33,"Ferry Corsten ft. Betsie Larkin","Made Of Love","Flashover","January 28, 2021",1001
34,"i_o ft. Marsha","Castles In The Sky","Armada","January 28, 2021",1001
35,"Ørjan Nilsen","Between The Rays","Armind","January 28, 2021",1001
36,"Gaia","Empire Of Hearts","Armind","January 28, 2021",1001
37,"W&W","Invasion (ASOT 550 Anthem)","ASOT","January 28, 2021",1001
38,"Ferry Corsten pres. Gouryella","Anahera","Flashover","January 28, 2021",1001
39,"System F","Out Of The Blue (Ilan Bluestone Remix)","Flashover","January 28, 2021",1001
40,"Ralphie B","Massive","Itwt","January 28, 2021",1001
41,"Davey Asprey","Fallout","ASOT","January 28, 2021",1001
42,"Mike Foyle vs. Signalrunners","Love Theme Dusk (Mike Foyle Broken Record Mix)","Armind","January 28, 2021",1001
43,"Armin van Buuren","Sail","Armind","January 28, 2021",1001
44,"M.I.K.E. pres. Push","Strange World (2000 Remake)","Bonzai","January 28, 2021",1001
45,"Paul Oakenfold ft. Carla Werner","Southern Sun (Tiësto Remix)","Perfecto","January 28, 2021",1001
46,"Above & Beyond ft. Richard Bedford","Sun & Moon (Club Mix)","Anjunabeats","January 28, 2021",1001
47,"Andrew Rayel ft. Jano","How Do I Know (Club Mix)","Armind","January 28, 2021",1001
48,"Sunlounger ft. Zara Taylor","Lost","Magic Island","January 28, 2021",1001
49,"Luminary","Amsterdam (Smith & Pledger Update)","Anjunabeats","January 28, 2021",1001
50,"ARTY & Mat Zo","Rebound","Anjunabeats","January 28, 2021",1001
51,"Shogun ft. Melissa Loretta","Skyfire","Armind","January 28, 2021",1001
52,"Gaia","J'ai Envie De Toi","Armind","January 28, 2021",1001
53,"Armin van Buuren","I Live For That Energy (ASOT 800 Theme)","ASOT","January 28, 2021",1001
54,"Planet Perfecto Knights","ResuRection (Paul Oakenfold Full On Fluoro Mix)","Perfecto","January 28, 2021",1001
55,"Paul van Dyk","For An Angel (Paul van Dyk E","n/a","January 28, 2021",1001
56,"Markus Schulz","The New World","Coldharbour","January 28, 2021",1001
57,"Armin van Buuren ft. Jan Vayne","Serenity","Armind","January 28, 2021",1001
58,"MaRLo","Visions","ASOT","January 28, 2021",1001
59,"MaRLo & Feenixpawl ft. Kamilla Bayrak","Lighter Than Air","Armind","January 28, 2021",1001
60,"Way Out West","Killa (Orkidea Remix)","Solaris","January 28, 2021",1001
61,"Scott Bond vs. Solarstone","3rd Earth","Made In England","January 28, 2021",1001
62,"Key4050 & Plumb","I Love You","Armind","January 28, 2021",1001
63,"Gareth Emery ft. Bo Bruce","U (Bryan Kearney Remix)","Garuda","January 28, 2021",1001
64,"Armin van Buuren ft. Justine Suissa","Burned With Desire (Rising Star Remix)","Armind","January 28, 2021",1001
65,"Tiësto","Suburban Train","Magik Muzik","January 28, 2021",1001
66,"Kyau & Albert","Made Of Sun (Kyau & Albert Hard Dub)","Anjunabeats","January 28, 2021",1001
67,"Above & Beyond pres. OceanLab","Satellite","Anjunabeats","January 28, 2021",1001
68,"Richard Durand & Christina Novelli","The Air I Breathe","Magik Muzik","January 28, 2021",1001
69,"Gareth Emery ft. Annabel","You'll Be OK (Giuseppe Ottaviani Remix)","Create Music Group","January 28, 2021",1001
70,"Saltwater","The Legacy (Alphazone Remix)","Zenith","January 28, 2021",1001
71,"Alex M.O.R.P.H. ft. Sylvia Tosun","An Angel's Love","ASOT","January 28, 2021",1001
72,"Armin van Buuren","Communication Part 3","Armind","January 28, 2021",1001
73,"Binary Finary","1999 (Gouryella Remix)","Positiva","January 28, 2021",1001
74,"Aly & Fila","It's All About The Melody","FSOE","January 28, 2021",1001
75,"The Thrillseekers","Synaesthesia (Ferry Corsten Remix)","Positiva","January 28, 2021",1001
76,"Ben Gold","I'm In A State Of Trance (ASOT 750 Anthem)","ASOT","January 28, 2021",1001
77,"Sebastian Brandt","450 (A State of Trance 450 Anthem)","ASOT","January 28, 2021",1001
78,"John O'Callaghan ft. Audrey Gallagher","Big Sky (Agnelli & Nelson Remix)","Armind","January 28, 2021",1001
79,"RAM","RAMsterdam (Jorn van Deynhoven Remix)","ASOT","January 28, 2021",1001
80,"Aly & Fila ft. Jwaydan","We Control The Sunlight","FSOE","January 28, 2021",1001
81,"Hilight Tribe","Free Tibet (Vini Vici Remix)","Iboga","January 28, 2021",1001
82,"Armin van Buuren vs. Vini Vici ft. Hilight Tribe","Great Spirit","Armind","January 28, 2021",1001
83,"Ferry Corsten vs. Armin van Buuren","Brute (Armin van Buuren Illegal Drum Edit)","Flashover","January 28, 2021",1001
84,"W&W x Vini Vici","Chakra","Mainstage","January 28, 2021",1001
85,"Sonic Inc.","The Taste Of Summer (Fire & Ice Vital Remix)","Bonzai","January 28, 2021",1001
86,"Giuseppe Ottaviani","Through Your Eyes","Vandit","January 28, 2021",1001
87,"Arksun","Arisen","Armind","January 28, 2021",1001
88,"Robert Miles","Children (Dream Version)","Dbx","January 28, 2021",1001
89,"Veracocha","Carte Blanche","Positiva","January 28, 2021",1001
90,"DJ Shah ft. Adrina Thorpe","Who Will Find Me (Main Mix)","ASOT","January 28, 2021",1001
91,"Tiësto","Adagio For Strings","Magik Muzik","January 28, 2021",1001
92,"Push","Universal Nation","Bonzai","January 28, 2021",1001
93,"Plastic Boy","Silver Bath","Bonzai Trance Prog","January 28, 2021",1001
94,"Pulser","My Religion","ASOT","January 28, 2021",1001
95,"Paul van Dyk ft. Hemstock & Jennings","Nothing But You (Paul van Dyk Club Mix)","Vandit","January 28, 2021",1001
96,"Solarstone","Solarcoaster (Midway Remix)","Lost Language","January 28, 2021",1001
97,"Kyau & Albert ft. Damae","Velvet Morning (Aalto Remix)","Anjunabeats","January 28, 2021",1001
98,"Allen Watts","Arizona","Who's Afraid Of 138","January 28, 2021",1001
99,"8 Wonders","The Morning After (The Thrillseekers Remix)","Somatic Sense","January 28, 2021",1001
100,"RAM ft. Susana","RAMelia (Tribute To Amelia)","FSOE","January 28, 2021",1001
101,"Ben Gold & Sivan","Stay (Sneijder Remix)","Who's Afraid Of 138","January 28, 2021",1001
102,"Armin van Buuren ft. Susana","Shivers (Rising Star Remix)","Ultra","January 28, 2021",1001
103,"Thomas Bronzwaer","Shadow World","Yakuza","January 28, 2021",1001
104,"Photographer","Airport","Monster Digital","January 28, 2021",1001
105,"Giuseppe Ottaviani","Linking People","Vandit","January 28, 2021",1001
106,"DJ's United","Remember Love","Armada","January 28, 2021",1001
1,"Omnia","Eternity","Etrnty","February 04, 2021",1002
2,"Kyau & Albert","Runaway Girl","Euphonic","February 04, 2021",1002
3,"Ilan Bluestone & Maor Levi ft. Alex Clare","Hold On","Anjunabeats","February 04, 2021",1002
4,"7 Skies","Zao","Anjunabeats","February 04, 2021",1002
5,"NWYR","Shenron","Nwyr","February 04, 2021",1002
6,"Andy Moor & Somna & Linney","More Than Love","AVA","February 04, 2021",1002
7,"Progressive Pick: STANDERWICK","Apricus","Armind","February 04, 2021",1002
8,"Armin van Buuren","Turn The World Into A Dancefloor (ASOT 1000 Anthem)","ASOT","February 04, 2021",1002
9,"Jorn van Deynhoven","Viva La Vida","ASOT","February 04, 2021",1002
10,"Seven Lions & Illenium & Said The Sky ft. HALIENE","Rush Over Me (Seven Lions 1999 Remix)","Ophelia","February 04, 2021",1002
11,"Tune Of The Week: Robbie Seed & Digital Vision & That Girl","I Choose You","Inharmony","February 04, 2021",1002
12,"Trance Wax ft. Moya Brennan","Rivers","Anjunabeats","February 04, 2021",1002
13,"Will Atkinson","The Last Rave on Earth","Vii","February 04, 2021",1002
